"game_id","idTeam","team_id","game","agg_plusminusTeam","agg_ptsTeam","agg_pctFG3Team","agg_pctFG2Team","agg_astTeam","agg_stlTeam","agg_blkTeam","agg_tovTeam","agg_pfTeam","agg_orebTeam","agg_drebTeam","agg_ftmTeam","B2BTeam","plusminusTeam","segSeason","win","opp_idTeam","opp_agg_plusminusTeam","opp_agg_ptsTeam","opp_agg_pctFG3Team","opp_agg_pctFG2Team","opp_agg_astTeam","opp_agg_stlTeam","opp_agg_blkTeam","opp_agg_tovTeam","opp_agg_pfTeam","opp_agg_orebTeam","opp_agg_drebTeam","opp_agg_ftmTeam","opp_B2BTeam","WL_diff","rest_diff"
21300024,1610612738,1610612738,2,-3,43.5,0.115384615384615,0.273584905660377,7.5,5,3.5,11,13.5,3.5,13,10,FALSE,-7,1,0,1610612749,-3.5,41.5,0.15625,0.25,9.5,5,2,12,11,2.5,13,5,FALSE,0,0
21300025,1610612745,1610612745,2,6.5,48,0.18,0.264705882352941,8.5,2,3,9.5,8,7,20,7.5,FALSE,8,1,1,1610612742,4.5,59,0.229166666666667,0.311320754716981,15.5,3.5,1,10,11,3.5,17.5,9.5,FALSE,0,0
21300026,1610612763,1610612763,2,-3.5,47,0.266666666666667,0.198717948717949,12,3,1.5,7,7.5,5.5,16.5,4,FALSE,3,1,1,1610612765,5.5,56.5,0.1875,0.277777777777778,12,3,2,9.5,13.5,6,16,13,FALSE,-0.5,0
21300027,1610612750,1610612750,2,2.5,60,0.16,0.226666666666667,13.5,3.5,1.5,7.5,9.5,7,17.5,14,FALSE,19,1,1,1610612760,1.5,50.5,0.157894736842105,0.217741935483871,4.5,7.5,2,7,12,5,17.5,14.5,FALSE,0,0
21300028,1610612751,1610612751,2,-2,47,0.1875,0.206896551724138,12,4,4,7.5,13.5,4.5,14,9.5,FALSE,1,1,1,1610612748,2.66666666666667,72.3333333333333,0.316666666666667,0.359259259259259,18.6666666666667,5.66666666666667,2.33333333333333,13,15.3333333333333,4,19.6666666666667,10.6666666666667,FALSE,-0.333333333333333,0
21300029,1610612743,1610612743,2,-1,44,0.166666666666667,0.2265625,9.5,1.5,5.5,9.5,10.5,4,16.5,7.5,FALSE,-15,1,0,1610612757,-6.5,45.5,0.153846153846154,0.227272727272727,9.5,2.5,2.5,7,7,5.5,14,8.5,FALSE,0,0
21300030,1610612756,1610612756,2,6.5,52,0.105263157894737,0.3046875,9,4,2.5,7.5,8.5,5.5,18,7,FALSE,3,1,1,1610612762,-1.5,49,0.136363636363636,0.263157894736842,12.5,3,2.5,11,14,5,17,10,FALSE,0.5,0
21300031,1610612758,1610612758,2,1,45,0.19047619047619,0.208333333333333,6.5,4,3.5,7,13,5.5,15,8,FALSE,-9,1,0,1610612746,-0.666666666666667,76.3333333333333,0.234126984126984,0.370401810979061,18,8.66666666666667,2.66666666666667,11.6666666666667,17,8.66666666666667,19.3333333333333,15.3333333333333,TRUE,0.166666666666667,1
21300032,1610612747,1610612747,3,-6,70,0.309067688378033,0.272593896713615,14,4.33333333333333,3.33333333333333,12,15,9,21.3333333333333,11.3333333333333,FALSE,-6,1,0,1610612759,3.5,50.5,0.275,0.258928571428571,12.5,1.5,3,7.5,9,2,18,5,FALSE,-0.166666666666667,0
21300033,1610612754,1610612754,3,5,64,0.282182438192668,0.308510638297872,12,3,10,13,10.3333333333333,5.33333333333333,21.6666666666667,15.6666666666667,FALSE,15,1,1,1610612739,-0.666666666666667,60.6666666666667,0.185185185185185,0.286341677646025,11.6666666666667,5.33333333333333,1.33333333333333,10.3333333333333,16.3333333333333,9,21,13,TRUE,0.333333333333333,2
21300034,1610612755,1610612755,3,3.66666666666667,74.3333333333333,0.213940648723257,0.3949232115859,16.6666666666667,8,2.33333333333333,12.3333333333333,12.6666666666667,5.66666666666667,23,9,TRUE,3,1,1,1610612741,-3.66666666666667,59,0.15224358974359,0.319298245614035,14.3333333333333,5.33333333333333,2.33333333333333,12.6666666666667,14.3333333333333,8,21.6666666666667,11.6666666666667,FALSE,0.333333333333333,-1
21300035,1610612740,1610612740,3,-8.33333333333333,60,0.318181818181818,0.238963963963964,11,4.66666666666667,3.33333333333333,9,16.6666666666667,10.6666666666667,18.3333333333333,12.3333333333333,TRUE,21,1,1,1610612766,-2.33333333333333,57.6666666666667,0.216666666666667,0.284767759562842,11.6666666666667,5,4.66666666666667,8,13.6666666666667,5.66666666666667,19,11.3333333333333,TRUE,-0.333333333333333,0
21300036,1610612742,1610612742,3,0.333333333333333,74.3333333333333,0.263888888888889,0.339967261135522,17,5.33333333333333,3,11.3333333333333,19.6666666666667,7.66666666666667,20.6666666666667,13,TRUE,12,1,1,1610612763,-1.33333333333333,68.3333333333333,0.288888888888889,0.324569027958858,16.3333333333333,6.33333333333333,2.33333333333333,11.3333333333333,12,5.66666666666667,21.6666666666667,11,TRUE,0,0
21300037,1610612749,1610612749,3,0,62.6666666666667,0.2375,0.306763285024155,12.3333333333333,6.66666666666667,3.66666666666667,10.3333333333333,15.3333333333333,7.33333333333333,16.6666666666667,13,TRUE,-7,1,0,1610612761,-0.333333333333333,62.6666666666667,0.199488491048593,0.328651059085842,10,4.66666666666667,4,10,16.6666666666667,9.66666666666667,20.3333333333333,6.66666666666667,TRUE,0,0
21300038,1610612762,1610612762,3,-2,60.6666666666667,0.188948306595365,0.302889576883385,15,3,2,14.3333333333333,16,10.6666666666667,21.6666666666667,12.3333333333333,TRUE,-11,1,0,1610612745,7,69.6666666666667,0.246436781609195,0.350713012477718,11.3333333333333,5,3.33333333333333,14,12,9,26,16.3333333333333,TRUE,-0.666666666666667,0
21300039,1610612757,1610612757,3,0.666666666666667,68,0.314685314685315,0.274971941638608,14.6666666666667,2.66666666666667,3.33333333333333,7,13,9,22.3333333333333,9.33333333333333,TRUE,10,1,1,1610612759,4.33333333333333,64,0.262698412698413,0.323303979125897,15,3.33333333333333,2,9,12,5.33333333333333,24.6666666666667,6.66666666666667,TRUE,-0.333333333333333,0
21300040,1610612744,1610612744,3,6.66666666666667,80,0.375661375661376,0.344838212634823,20,5,3.66666666666667,13.3333333333333,19,5.66666666666667,21.3333333333333,13.6666666666667,FALSE,11,1,1,1610612758,-2.33333333333333,63.6666666666667,0.244631185807656,0.300179211469534,11.3333333333333,5,4,8,17.6666666666667,7,18.3333333333333,13,TRUE,0,1
